world	path	probL	probR	probU	probD	subject_node_path	ideal_value_L	ideal_value_R	ideal_value_U	ideal_value_D
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	0.0	0.8125	0.1875	0.0	N2360,N7986,N3386,N198,N7470,N326,N9958,N8336	None	13.64	None	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	1.0	0.0	0.0	0.0	N2360,N7986,N3386,N198,N7470,N326,N9958,N8336,N3120	13.32	None	None	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);	0.0	0.6470588235	0.0	0.3529411765	N2360,N7986,N3386,N6048,N8850	None	11.24	11.96	11.16
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	1.0	0.0	0.0	0.0	N2360,N7986,N3386,N6048,N8850,N2513	11.16	15.48	11.88	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	0.0	1.0	0.0	0.0	N2360,N7986,N3386,N6048,N8850,N2513,N9376	None	11.48	None	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	0.0	0.0	0.0	1.0	N2360,N7986,N3386,N6048,N8850,N2513,N9376,N6784	11.56	None	None	11.16
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(4,6);	0.0	0.0	1.0	0.0	N2360,N7986,N3386,N6048,N8850,N2513,N9376,N6784,N5082	None	None	11.16	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	1.0	0.0	0.0	0.0	N2360,N7986,N3386,N198,N1477	12.48	12.48	12.92	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	0.0	0.8461538462	0.1538461538	0.0	N2360,N7986,N3386,N198,N1477,N900	None	14.84	None	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	0.0	0.0	0.0	1.0	N2360,N7986,N3386,N198,N1477,N900,N2942	13.8	None	None	12.48
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(4,6);	0.0	0.0	1.0	0.0	N2360,N7986,N3386,N198,N1477,N900,N2942,N2257	None	None	13.24	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	0.0	0.0	0.0	1.0	N2360,N7986,N3386,N6048,N8850,N9202	12.28	None	None	11.24
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);	0.0	0.0	1.0	0.0	N2360,N7986,N3386,N6048,N8850,N9202,N2181	None	None	11.8	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);	1.0	0.0	0.0	0.0	N2360,N7986,N3386,N6048,N8850,N9202,N2181,N9071	11.24	None	11.48	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	0.0	1.0	0.0	0.0	N2360,N7986,N3386,N6048,N8850,N9202,N2181,N9071,N1644	None	11.24	None	None
roomG	p(0,0);	0.0	1.0	0.0	0.0	N497	None	10.963	None	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);	0.0079365079	0.0	0.0	0.9920634920999999	N497,N8736	None	None	None	10.963
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	0.528	0.44799999999999995	0.0	0.024	N497,N8736,N2034	10.963	11.556	None	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);	0.0	1.0	0.0	0.0	N497,N8736,N2034,N9308	None	10.963	None	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	0.0	0.0	0.696969697	0.303030303	N497,N8736,N2034,N9308,N442	None	None	10.963	11.556
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	0.0181818182	0.0	0.7454545455	0.2363636364	N497,N8736,N2034,N2126	12.296	None	11.556	12.444
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	0.0	0.95	0.05	0.0	N497,N8736,N2034,N9308,N442,N5284	None	11.926	11.556	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	1.0	0.0	0.0	0.0	N497,N8736,N2034,N9308,N442,N5284,N1410	11.926	None	None	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	0.0	0.8461538462	0.1538461538	0.0	N497,N8736,N2034,N2126,N9981	None	13.407	13.185	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	1.0	0.0	0.0	0.0	N497,N8736,N2034,N2126,N9981,N1599	14.148	None	None	None
tworooms	p(0,0);	0.0	1.0	0.0	0.0	N7963	None	10.68	None	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);	0.0	0.015873015900000002	0.0	0.9841269841	N7963,N4804	None	None	None	10.68
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	0.6422764228	0.3577235772	0.0	0.0	N7963,N4804,N7264	10.68	12.04	None	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	0.0454545455	0.0	0.6818181818000001	0.2727272727	N7963,N4804,N7264,N1396	12.12	None	12.04	12.76
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);	0.0	0.7333333333	0.0	0.2666666667	N7963,N4804,N7264,N1396,N29	None	12.04	None	12.12
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	0.1904761905	0.0	0.0	0.8095238095	N7963,N4804,N7264,N1396,N29,N4956	12.04	None	None	12.6
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(7,3);p(7,4);p(7,5);	1.0	0.0	0.0	0.0	N7963,N4804,N7264,N1396,N29,N4956,N3770	12.6	None	None	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(5,3);p(5,4);p(5,5);	0.0	0.7142857143000001	0.2857142857	0.0	N7963,N4804,N7264,N1396,N29,N1792	None	12.76	12.68	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	1.0	0.0	0.0	0.0	N7963,N4804,N7264,N1396,N29,N1792,N5642	12.76	None	None	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	0.0	1.0	0.0	0.0	N7963,N4804,N7264,N1396,N6211	None	12.76	12.84	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	0.0833333333	0.0	0.9166666667	0.0	N7963,N4804,N7264,N1396,N6211,N6795	12.76	None	12.84	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);p(7,4);p(7,3);p(7,2);	1.0	0.0	0.0	0.0	N7963,N4804,N7264,N1396,N6211,N6795,N4029	12.84	None	None	None
cubicles	p(0,0);	0.0	0.856	0.0	0.14400000000000002	N6501	None	9.0	None	10.652
cubicles	p(0,0);p(1,0);p(2,0);	0.0	0.6635514019	0.0	0.33644859810000005	N6501,N1441	12.304	9.0	None	None
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);	0.014084507	0.014084507	0.0	0.9718309859	N6501,N1441,N3648	None	None	None	9.0
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	0.014492753600000002	0.0	0.0	0.9855072464	N6501,N1441,N3648,N9907	None	None	None	8.304
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	0.38235294119999996	0.6176470588	0.0	0.0	N6501,N1441,N3648,N9907,N1957	9.174	8.304	None	None
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	0.0	0.028571428599999997	0.0	0.9714285714	N6501,N1441,N3648,N9907	None	None	None	8.304
