subject	world	squarepath	step	squaretype	rt	numopen	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd	action	existsL	existsR	existsU	existsD	blackremains
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);p(3,1);p(3,2);	11	N	416	0	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S256137	courtyard	p(0,0);	0	X	5974	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S256137	courtyard	p(0,0);p(1,0);	1	N	478	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S256137	courtyard	p(0,0);p(1,0);p(2,0);	2	N	490	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S256137	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	750	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S256137	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	486	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S256137	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	784	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S265716	courtyard	p(0,0);	0	X	1058	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S265716	courtyard	p(0,0);p(1,0);	1	N	399	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S265716	courtyard	p(0,0);p(1,0);p(2,0);	2	N	478	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S265716	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	875	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S265716	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	753	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S265716	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	987	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S269331	courtyard	p(0,0);	0	X	4325	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S269331	courtyard	p(0,0);p(1,0);	1	N	1655	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S269331	courtyard	p(0,0);p(1,0);p(2,0);	2	N	892	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S269331	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	2448	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S269331	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	858	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S269331	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	1211	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S279506	courtyard	p(0,0);	0	X	2079	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S279506	courtyard	p(0,0);p(1,0);	1	N	746	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S279506	courtyard	p(0,0);p(1,0);p(2,0);	2	N	535	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S279506	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	1334	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S279506	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	466	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S279506	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	1135	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S280055	courtyard	p(0,0);	0	X	2391	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S280055	courtyard	p(0,0);p(1,0);	1	N	585	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S280055	courtyard	p(0,0);p(1,0);p(2,0);	2	N	647	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S280055	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	4262	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S280055	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	690	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S280055	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	1074	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S29058	courtyard	p(0,0);	0	X	3414	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S29058	courtyard	p(0,0);p(1,0);	1	N	560	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S29058	courtyard	p(0,0);p(1,0);p(2,0);	2	N	632	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S29058	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	1000	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
