subject	world	square_path	path_type	error_step	error_node
S983809	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S180888	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S191334	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S235282	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S247056	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S250296	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S294423	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S299579	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S299693	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S342386	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S368470	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S391243	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S394005	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S411804	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S414838	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S419107	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
S489428	garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	ERROR_PATH	(5,2)	N3462
