subject	world	square_path	chosen_node_path	chosen_value	all_values
S983016	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S983809	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S989739	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S990120	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S994778	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S11135	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S123177	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S126242	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(2,3);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S14208	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S156147	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S16432	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S164546	library	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	ERROR_PATH	(1,3)	N3151
S166242	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(0,4);p(0,5);p(1,5);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,0);p(6,1);p(6,2);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N500,N4478	12.0	12.0;9.5;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S180888	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
S185508	library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	N3151,N8688,N1452,N8106,N3650,N4693,N4422,N6940	9.5	9.5;9.667;9.75;10.417;9.917;10.75;11.25;11.417;11.0;11.167
