world	path	square	probL	probR	probU	probD	rtL	rtR	rtU	rtD	actionstaken	existsL	existsR	existsU	existsD
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(5,3);p(5,4);p(5,5);	D	0	0.7142857143	0.2857142857	0	NA	1343	1612	NA	2	FALSE	TRUE	TRUE	FALSE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	D	1	0	0	0	1415	NA	NA	NA	1	TRUE	FALSE	TRUE	FALSE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	D	0	1	0	0	NA	915.5	NA	NA	1	FALSE	TRUE	TRUE	FALSE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	D	0.0833333333	0	0.9166666667	0	1848	NA	801	NA	2	TRUE	FALSE	TRUE	FALSE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);p(7,4);p(7,3);p(7,2);	D	1	0	0	0	700	NA	NA	NA	1	TRUE	FALSE	FALSE	TRUE
cubicles	p(0,0);	X	0	0.856	0	0.144	NA	2260	NA	3145	2	FALSE	TRUE	FALSE	TRUE
cubicles	p(0,0);p(1,0);p(2,0);	D	0	0.6635514019	0	0.3364485981	NA	932	NA	1503	2	TRUE	TRUE	FALSE	TRUE
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);	D	0.014084507	0.014084507	0	0.9718309859	5191	280	NA	800	3	TRUE	TRUE	FALSE	TRUE
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	O	0.0144927536	0	0	0.9855072464	344	NA	NA	876.5	2	TRUE	TRUE	TRUE	TRUE
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	D	0.3823529412	0.6176470588	0	0	1958.5	1549.5	NA	NA	2	TRUE	TRUE	TRUE	FALSE
