world	path	probL	probR	probU	probD	subject_node_path	MCTS_value_L	MCTS_value_R	MCTS_value_U	MCTS_value_D
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	0.0	0.0	0.696969697	0.303030303	N497,N8736,N2034,N9308,N442	None	None	0.47896440058755146	0.5210355994124485
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	0.0181818182	0.0	0.7454545455	0.2363636364	N497,N8736,N2034,N2126	0.3317236162041367	None	0.3119665149460278	0.3563098688498355
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	0.0	0.95	0.05	0.0	N497,N8736,N2034,N9308,N442,N5284	None	0.5078864488998799	0.4921135511001201	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	1.0	0.0	0.0	0.0	N497,N8736,N2034,N9308,N442,N5284,N1410	1.0	None	None	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	0.0	0.8461538462	0.1538461538	0.0	N497,N8736,N2034,N2126,N9981	None	0.33817409369451834	0.3369571829950576	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	1.0	0.0	0.0	0.0	N497,N8736,N2034,N2126,N9981,N1599	0.5134408642147934	None	None	None
tworooms	p(0,0);	0.0	1.0	0.0	0.0	N7963	None	1.0	None	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);	0.0	0.015873015900000002	0.0	0.9841269841	N7963,N4804	None	None	None	1.0
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	0.6422764228	0.3577235772	0.0	0.0	N7963,N4804,N7264	0.47560973538285134	0.5243902646171488	None	None
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	0.0454545455	0.0	0.6818181818000001	0.2727272727	N7963,N4804,N7264,N1396	0.32735483942844584	None	0.3292599780435139	0.3433851825280403
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);	0.0	0.7333333333	0.0	0.2666666667	N7963,N4804,N7264,N1396,N29	None	0.3307248549430134	None	0.327854126777776
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	0.1904761905	0.0	0.0	0.8095238095	N7963,N4804,N7264,N1396,N29,N4956	0.4886363843897572	None	None	0.5113636156102428
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(7,3);p(7,4);p(7,5);	1.0	0.0	0.0	0.0	N7963,N4804,N7264,N1396,N29,N4956,N3770	1.0	None	None	None
