	world	node	child	value	prob	N	hash	dv_0.5	dv_0.55	dv_0.6	dv_0.65	dv_0.7	dv_0.75	dv_0.8	dv_0.85	dv_0.9	dv_0.95
37	labyrinth3	N5316967	N8407469	16.571428	0.3541666667	48	labyrinth3 N5316967	10.214	10.85	11.486	12.121	12.757	13.393	14.029	14.664	15.3	15.936
36	labyrinth3	N5316967	N4592326	14.857142999999999	0.6458333333	48	labyrinth3 N5316967	12.357	12.607	12.857	13.107	13.357	13.607	13.857	14.107	14.357	14.607
18	labyrinth3	N8899359	N7730376	14.545454000000001	0.253968254	126	labyrinth3 N8899359	8.136	8.777	9.418	10.059	10.7	11.341	11.982	12.623	13.264	13.905
16	labyrinth3	N8899359	N8858377	12.727272	0.3650793651	126	labyrinth3 N8899359	8.591	9.005	9.418	9.832	10.245	10.659	11.073	11.486	11.9	12.314
92	library	N9747004	N8680754	19.0	1.0	36	library N9747004	13.375	13.938	14.5	15.063	15.625	16.188	16.75	17.313	17.875	18.438
93	library	N9747004	N1647237	24.0	0.0	36	library N9747004	17.125	17.812	18.5	19.188	19.875	20.563	21.25	21.938	22.625	23.313
53	library	N2272684	N4522484	16.166666	0.4814814815	27	library N2272684	10.0	10.617	11.233	11.85	12.467	13.083	13.7	14.317	14.933	15.55
91	library	N5610265	N1352798	20.0	1.0	1	library N5610265	14.625	15.163	15.7	16.238	16.775	17.312	17.85	18.388	18.925	19.463
90	library	N5610265	N7608419	19.0	0.0	1	library N5610265	13.875	14.388	14.9	15.413	15.925	16.438	16.95	17.463	17.975	18.488
55	library	N2272684	N1620555	22.166666	0.0	27	library N2272684	13.833	14.667	15.5	16.333	17.167	18.0	18.833	19.667	20.5	21.333
54	library	N2272684	N9747004	16.833332000000002	0.5185185185	27	library N2272684	10.5	11.133	11.767	12.4	13.033	13.667	14.3	14.933	15.567	16.2
39	library	N2153380	N3287714	16.0	0.2244897959	98	library N2153380	11.625	12.062	12.5	12.938	13.375	13.813	14.25	14.688	15.125	15.563
38	library	N2153380	N4822267	15.0	0.7755102040999999	98	library N2153380	10.875	11.288	11.7	12.112	12.525	12.938	13.35	13.763	14.175	14.588
28	library	N6857034	N54623	16.454544	0.0357142857	28	library N6857034	9.182	9.909	10.636	11.364	12.091	12.818	13.545	14.273	15.0	15.727
8	library	N9553169	N7453865	11.666667	0.7777777778	126	library N9553169	6.267	6.807	7.347	7.887	8.427	8.967	9.507	10.047	10.587	11.127
27	library	N6857034	N2272684	13.727272	0.9642857143000001	28	library N6857034	9.318	9.759	10.2	10.641	11.082	11.523	11.964	12.405	12.845	13.286
9	library	N9553169	N6857034	12.066667	0.22222222219999999	126	library N9553169	7.033	7.537	8.04	8.543	9.047	9.55	10.053	10.557	11.06	11.563
197	museum	N8235434	N1421546	26.25	0.0	1	museum N8235434	19.125	19.838	20.55	21.263	21.975	22.688	23.4	24.113	24.825	25.538
66	museum	N8999294	N7239905	19.785715	0.0107526882	93	museum N8999294	11.607	12.425	13.243	14.061	14.879	15.696	16.514	17.332	18.15	18.968
